a	a
administrés        administr
administrez        administr
admira           admir
admirable        admir
admirablement        admir
admirables         admir
admirais         admir
admirait         admir
admirant         admir
admirateurs        admir
admiration         admir
admire           admir
admiré           admir
admirée          admir
admirées         admir
admirent         admirent
admirer          admir
admirera         admir
admirèrent         admir
admirés          admir
admiriez         admir
admis            admis
admise           admis
admises          admis
admission        admiss
admît            admît
admonestant        admonest
adolescent         adolescent
adolphe          adolph
adonné           adon
adonnée          adon
adonnent         adonnent
adopta           adopt
adopte           adopt
adopté           adopt
adoptée          adopt
adopter          adopt
adoptif          adopt
adorable         ador
adoraient        ador
adorais          ador
adorait          ador
adorant          ador
adorateur        ador
adorateurs         ador
adoration        ador
adorations         ador
adoratrices        ador
adore            ador
adoré            ador
adorée           ador
adorent          adorent
adorer           ador
adorera          ador
adouci           adouc
adoucir          adouc
adoucissait        adouc
adoucissent        adouc
adressa          adress
adressaient        adress
adressait        adress
adressant        adress
adressât         adress
adresse          adress
adressé          adress
adressée         adress
adressées        adress
adressent        adressent
adresser         adress
adresserai         adress
adressèrent        adress
adresses         adress
adressés         adress
adressez         adress
adrien           adrien
adroit           adroit
adroite          adroit
adroitement        adroit
adroites         adroit
adroits          adroit
adsum            adsum
adultère         adulter
adverbe          adverb
adversaire         adversair
adversaires        adversair
adverse          advers
adversité        advers
advint           advint
aérienne         aérien
affabilité         affabl
affadissantes        affad
affaibli         affaibl
affaiblie        affaibl
affaiblissait        affaibl
affaiblissement               affaibl
affaiblit        affaibl
affaire          affair
affairé          affair
affaires         affair
affairés         affair
affaissé         affaiss
affamé           affam
affamer          affam
affamés          affam
affecta          affect
affectaient        affect
affectait        affect
affectant        affect
affectation        affect
affectations         affect
affecte          affect
affecté          affect
affectée         affect
affectées        affect
affecter         affect
affectés         affect
affection        affect
affectionnait        affection
affectionné        affection
affections         affect
affectueux         affectu
affermissant         afferm
affermit         afferm
affichait        affich
affiche          affich
affiché          affich
affichée         affich
affichent        affichent
afficher         affich
affiches         affich
afficheur        afficheur
affidé           affid
affidés          affid
affilée          affil
affilié          affili
affilier         affili
affinités        affin
affirmait        affirm
affirmant        affirm
affirmatif         affirm
affirme          affirm
affirmé          affirm
affirment        affirment
affirmer         affirm
affirmerai         affirm
afflictive         afflict
afflige          afflig
affligé          afflig
affligea         afflig
affligée         afflig
affliger         afflig
affligez         afflig
afflua           afflu
affluaient         afflu
affluence        affluenc
affluent         affluent
affluents        affluent
affluer          afflu
affolait         affol
affolées         affol
affranchi        affranch
affrète          affret
affreuse         affreux
affreuses        affreux
affreux          affreux
affriolait         affriol
affront          affront
affrontais         affront
affronter        affront
affublé          affubl
afin             afin
afrique          afriqu
agde             agde
age              age
âge              âge
âgé              âgé
âgée             âgé
âgées            âgé
agen             agen
agencées         agenc
agenouilla         agenouill
agenouillant         agenouill
agenouillé         agenouill
agenouillée        agenouill
agent            agent
agents           agent
âges             âge
âgés             âgé
agglomération        agglomer
aggrottato         aggrottato
agi              agi
agile            agil
agilité          agil
agir             agir
agirait          agir
agis             agis
agissaient         agiss
agissait         agiss
agissant         agiss
agissante        agiss
agisse           agiss
agissent         agissent
agissez          agiss
agissons         agisson
agit             agit
agita            agit
agitaient        agit
agitait          agit
agitant          agit
agitation        agit
agite            agit
agité            agit
agitée           agit
agitées          agit
agitent          agitent
agiter           agit
agitèrent        agit
agités           agit
agneaux          agneau
agonie           agon
agra             agra
agrandis         agrand
agréable         agréabl
agréablement         agréabl
agréables        agréabl
agréer           agré
agréez           agré
agrément         agrément
agrémenté        agrément
agrémentée         agrément
agrémentées        agrément
agrémentés         agrément
agréments        agrément
agrès            agres
agriculteur        agriculteur
agriculture        agricultur
ah               ah
ahméhnagara        ahméhnagar
ahuri            ahur
ai               ai
aida             aid
aidait           aid
aidant           aid
aide             aid
aidé             aid
aidée            aid
aidées           aid
aider            aid
aidera           aid
aiderai          aid
aidèrent         aid
aiderez          aid
aides            aid
aidés            aid
aidez            aid
aidiez           aid
aie              aie
aient            aient
aies             aie
aïeul            aïeul
aïeux            aïeux
aigle            aigl
aigre            aigr
aigrelets        aigrelet
aigrelettes        aigrelet
aigrement        aigr
aigres           aigr
aigreur          aigreur
aigrirait        aigr
aiguille         aiguill
aiguilles        aiguill
aiguillon        aiguillon
aiguiser         aiguis
aigus            aigus
aile             ail
ailes            ail
aille            aill
ailles           aill
ailleurs         ailleur
aima             aim
aimable          aimabl
aimables         aimabl
aimaient         aim
aimais           aim
aimait           aim
aimant           aim
aimât            aim
aime             aim
aimé             aim
aimée            aim
aimées           aim
aiment           aiment
aimer            aim
aimera           aim
aimerai          aim
aimerais         aim
aimerait         aim
aimerez          aim
aimes            aim
aimés            aim
aimez            aim
aimiez           aim
aimons           aimon
aine             ain
aîné             aîn
aînée            aîn
aînés            aîn
ainsi            ains
air              air
aire             air
airs             air
aisance          aisanc
aise             ais
aisé             ais
aisées           ais
aisément         ais
aisés            ais
ait              ait
ajournement        ajourn
ajouta           ajout
ajoutaient         ajout
ajoutait         ajout
ajoutant         ajout
ajoute           ajout
ajouté           ajout
ajoutées         ajout
ajouter          ajout
ajoutera         ajout
ajouterai        ajout
ajouteraient         ajout
ajouterais         ajout
ajoutèrent         ajout
ajouterez        ajout
ajouterons         ajout
ajuster          ajust
al               al
alabama          alabam
alacoque         alacoqu
alari            alar
alarma           alarm
alarmaient         alarm
alarmants        alarm
alarme           alarm
alarmé           alarm
alarmée          alarm
alarmer          alarm
alarmes          alarm
alas             alas
albâtre          albâtr
albermale        albermal
album            album
alcooliques        alcool
ale              ale
aléa             alé
alembert         alembert
alençon          alençon
alerte           alert
alertes          alert
alexandre        alexandr
alfieri          alfier
alfred           alfred
alger            alger
alhambra         alhambr
aliène           alien
alignées         align
aligre           aligr
aliment          aliment
alimentation         aliment
alimenter        aliment
alimento         alimento
alinéa           aliné
all              all
alla             alla
allahabad        allahabad
allaient         allaient
allais           allais
allait           allait
allant           allant
allât            allât
allé             allé
alléché          allech
alléchés         allech
allée            allé
allées           allé
allégation         alleg
allege           alleg
allège           alleg
allègre          allegr
allégresse         allégress
alléguant        allégu
allemagne        allemagn
allemand         allemand
allemande        allemand
allemands        allemand
aller            aller
allèrent         allèrent
allés            allé
allez            allez
alliage          alliag
alliance         allianc
allié            alli
alliés           alli
alliez           alli
alligators         alligator
allions          allion
allocution         allocu
allonge          allong
allongeait         allong
allongée         allong
allons           allon
alloue           allou
alluma           allum
allumait         allum
allume           allum
allumé           allum
allumée          allum
allumées         allum
allumer          allum
allumés          allum
allure           allur
allures          allur
allusion         allus
allusions        allus
almanach         almanach
almaviva         almaviv
alors            alor
alouettes        alouet
alourdie         alourd
alpes            alpe
alphabet         alphabet
alphabets        alphabet
alsace           alsac
also             also
altamira         altam
altéra           alter
altérait         alter
altéré           alter
altérée          alter
altérer          alter
altérés          alter
alternative        altern
alternatives         altern
altesse          altess
altesses         altess
altier           alti
altière          altier
altitude         altitud
alvizi           alviz
alzar            alzar
ama              ama
amabilité        amabl
amadoué          amadou
amadouer         amadou
amai             amai
amaigris         amaigr
amand            amand
amanda           amand
amant            amant
amantes          amant
amants           amant
amarres          amarr
amarrés          amarr
amas             amas
amassaient         amass
amassé           amass
amassée          amass
amateur          amateur
amateurs         amateur
ambassade        ambassad
ambassadeur        ambassadeur
ambassadeurs         ambassadeur
ambiguë          ambigu
ambitieuse         ambiti
ambitieux        ambiti
ambition         ambit
ambulance        ambul
ambulant         ambul
ambulantes         ambul
ambulants        ambul
âme              âme
amena            amen
aménagé          aménag
aménagements         aménag
amenait          amen
amende           amend
amendes          amend
amène            amen
amené            amen
amenée           amen
amener           amen
amènera          amen
amènerai         amen
amènerait        amen
amenez           amen
ameni            amen
amer             amer
amère            amer
amèrement        amer
amères           amer
américain        américain
américaine         américain
américains         américain
american         american
amérique         amer
amers            amer
amertume         amertum
âmes             âme
ameublement        ameubl
ameutant         ameut
ami              ami
amiable          amiabl
amical           amical
amicale          amical
amicalement        amical
amicizia         amicizi
amie             ami
amiens           amien
amies            ami
amis             amis
amitié           amiti
amitiés          amiti
amoindri         amoindr
amor             amor
amorce           amorc
amorces          amorc
amortir          amort
amortirait         amort
amour            amour
amourachée         amourach
amoureuse        amour
amoureusement        amour
amoureux         amour
amours           amour
amphigouriques        amphigour
amphion          amphion
amphithéâtre         amphithéâtr
ample            ample
amplification        amplif
amplifications        amplif
amputés          amput
amusa            amus
amusaient        amus
amusait          amus
amusant          amus
amusante         amus
amusantes        amus
amusants         amus
amuse            amus
amusé            amus
amusement        amus
amuser           amus
amusera          amus
an               an
anachorète         anachoret
anachronisme         anachron
analyser         analys
ananas           anan
anathème         anathem
anathèmes        anathem
ancêtres         ancêtr
ancien           ancien
ancienne         ancien
anciennes        ancien
anciens          ancien
ancre            ancre
ancrés           ancré
and              and
andaman          andaman
anderson         anderson
andrew           andrew
andryane         andryan
anéanti          anéant
anéantie         anéant
anéantir         anéant
anéantis         anéant
anéantissait         anéant
anéantit         anéant
anecdote         anecdot
anecdotes        anecdot
anecdotique        anecdot
ânerie           âner
anetta           anet
ange             ange
angela           angel
angelica         angelic
angélina         angélin
angélique        angel
anges            ange
anglais          anglais
anglaise         anglais
anglaises        anglais
angle            angle
angles           angle
angleterre         angleterr
anglo            anglo
angoisse         angoiss
angoisses        angoiss
angoulême        angoulêm
aniken           aniken
anima            anim
animaient        anim
animait          anim
animal           animal
animant          anim
animation        anim
animaux          animal
anime            anim
animé            anim
animée           anim
animées          anim
animer           anim
animèrent        anim
animés           anim
annales          annal
annam            annam
anneau           anneau
année            anné
années           anné
annexait         annex
annibal          annibal
anno             anno
annonça          annonc
annonçaient        annonc
annonçait        annonc
annonçant        annonc
annonce          annonc
annoncé          annonc
annoncée         annonc
annoncées        annonc
annoncent        annoncent
annoncer         annonc
annoncerait        annonc
annoncèrent        annonc
annoncerez         annonc
annonces         annonc
annoncés         annonc
annuel           annuel
annuelle         annuel
annuellement         annuel
annulé           annul
annulée          annul
annuleront         annul
anobli           anobl
anoblir          anobl
anoblis          anobl
anoblissement        anobl
anoblit          anobl
anodines         anodin
ânonna           ânon
anonyme          anonym
anonymement        anonym
anonymes         anonym
ans              an
anse             anse
antagoniste        antagon
antérieure         antérieur
antérieurs         antérieur
anthropophages        anthropophag
anti             anti
antibes          antib
antichambre        antichambr
antichambres         antichambr
antidata         antidat
antidatée        antidat
antigénéreuses        antigéner
antijacobine         antijacobin
antimonarchique               antimonarch
antipathie         antipath
antipathique         antipath
antipode         antipod
antipodes        antipod
antiquaires        antiquair
antique          antiqu
antiques         antiqu
antiquité        antiqu
antiquités         antiqu
antithèse        antithes
antoine          antoin
anxiété          anxiet
anxieux          anxieux
any              any
aouda            aoud
août             août
apaisa           apais
apaisée          apais
apaiser          apais
apaisera         apais
apathie          apath
apathique        apath
apennin          apennin
apens            apen
apercevait         apercev
apercevant         apercev
apercevoir         apercevoir
apercevons         apercevon
apercevrait        apercevr
aperçois         aperçois
aperçoit         aperçoit
aperçoive        aperço
aperçu           aperçu
aperçue          aperçu
aperçurent         aperçurent
aperçus          aperçus
aperçut          aperçut
aperçût          aperçût
aplaties         aplat
aplatit          aplat
aplomb           aplomb
apocalypse         apocalyps
apocalyptique        apocalypt
apoplectique         apoplect
apoplexie        apoplex
apoplexies         apoplex
apostat          apostat
aposté           apost
apostille        apostill
apostolique        apostol
apostoliques         apostol
apothicaire        apothicair
apôtre           apôtr
apôtres          apôtr
apparaissaient        apparaiss
apparaissait         apparaiss
apparait         appar
apparaît         apparaît
apparaîtrait         apparaîtr
apparaître         apparaîtr
apparat          apparat
appareil         appareil
appareillait         appareil
appareiller        appareil
appareils        appareil
apparemment        apparent
apparence        apparent
apparences         apparent
apparent         apparent
apparente        apparent
apparition         apparit
apparitions        apparit
appartement        appart
appartements         appart
appartenaient        apparten
appartenait        apparten
appartenant        apparten
appartenir         apparten
appartenu        appartenu
appartiendront        appartiendront
appartiennent        appartiennent
appartient         appartient
appartint        appartint
appartînt        appartînt
apparu           apparu
apparut          apparut
appât            appât
appel            appel
appela           appel
appelaient         appel
appelait         appel
appelant         appel
appelât          appel
appelé           appel
appelée          appel
appelées         appel
appeler          appel
appelés          appel
appelez          appel
appelle          appel
appellent        appellent
appellera        appel
appellerai         appel
appellerait        appel
appellerez         appel
appelleront        appel
appelles         appel
appendices         appendic
appert           appert
appesantie         appesant
appesantis         appesant
appétit          appet
applaudi         applaud
applaudie        applaud
applaudir        applaud
applaudirent         applaud
applaudissaient               applaud
applaudissements              applaud
applaudit        applaud
applicables        applic
application        appliqu
appliqua         appliqu
appliquait         appliqu
applique         appliqu
appliqué         appliqu
appliquée        appliqu
appliquer        appliqu
appliquez        appliqu
appoint          appoint
appointements        appoint
appointés        appoint
apporta          apport
apportaient        apport
apportait        apport
apportant        apport
apporte          apport
apporté          apport
apportée         apport
apportées        apport
apporter         apport
apporterai         apport
apporterait        apport
apportés         apport
apportez         apport
apportiez        apport
apposa           appos
apposer          appos
apposés          appos
apprécie         apprec
appréciée        appréci
apprécier        appréci
appréciés        appréci
appréhension         appréhens
apprenaient        appren
apprenait        appren
apprenant        appren
apprend          apprend
apprendra        apprendr
apprendrais        apprendr
apprendrait        apprendr
apprendre        apprendr
apprendrez         apprendr
apprendrions         apprendr
apprendront        apprendront
apprends         apprend
apprenez         appren
apprennes        appren
apprêtait        apprêt
apprêter         apprêt
apprêtons        apprêton
apprirent        apprirent
appris           appris
apprise          appris
apprises         appris
apprit           apprit
apprivoisés        apprivois
approbation        approb
approcha         approch
approchaient         approch
approchait         approch
approchant         approch
approche         approch
approché         approch
approchée        approch
approchent         approchent
approcher        approch
approchèrent         approch
approches        approch
approchés        approch
approfondie        approfond
approprié        appropri
approuva         approuv
approuvé         approuv
approuvée        approuv
approuvera         approuv
approuves        approuv
appui            appui
appuie           appui
appuya           appui
appuyaient         appui
appuyais         appui
appuyait         appui
appuyant         appui
appuyé           appui
appuyée          appui
appuyées         appui
appuyer          appui
âpre             âpre
après            apres
april            april
aptitude         aptitud
aquarelle        aquarel
aquetta          aquet
aquilin          aquilin
aquitaine        aquitain
arabe            arab
arabes           arab
arabique         arab
araceli          aracel
arbitraire         arbitrair
arbitraires        arbitrair
arbitre          arbitr
arbitres         arbitr
arboré           arbor
arborer          arbor
arborescentes        arborescent
arbre            arbre
arbres           arbre
arbrisseaux        arbrisseau
arc              arc
arceaux          arceau
arche            arche
archet           archet
archevêché         archevêch
archevêque         archevêqu
archevêques        archevêqu
archiduc         archiduc
archiépiscopal        archiépiscopal
archiépiscopale               archiépiscopal
archifolle         archifoll
archiprêtre        archiprêtr
architecte         architect
architecture         architectur
archives         archiv
arcole           arcol
arçon            arçon
ardemment        ardemment
ardent           ardent
ardente          ardent
ardentes         ardent
ardents          ardent
ardeur           ardeur
ardu             ardu
are              are
arecs            arec
aresi            ares
arêtes           arêt
argent           argent
argentée         argent
argile           argil
argument         argument
arguments        argument
arides           arid
arioste          ariost
aristocrate        aristocrat
aristocratie         aristocrat
aristocratique        aristocrat
aristocratiques               aristocrat
arithmétique         arithmet
arkansas         arkans
arlequin         arlequin
arma             arma
armait           armait
armant           armant
armateur         armateur
armateurs        armateur
arme             arme
armé             armé
armée            armé
armées           armé
arméniennes        arménien
arméniens        arménien
armer            armer
armes            arme
armés            armé
armide           armid
armoire          armoir
armoires         armoir
armoiries        armoir
armonica         armonic
armurier         armuri
arnauld          arnauld
arpent           arpent
arpents          arpent
arquebuser         arquebus
arquées          arqué
arqués           arqué
arracha          arrach
arrachait        arrach
arrachant        arrach
arrache          arrach
arraché          arrach
arrachée         arrach
arrachent        arrachent
arracher         arrach
arrachèrent        arrach
arrachés         arrach
arrange          arrang
arrangé          arrang
arrangea         arrang
arrangeaient         arrang
arrangeait         arrang
arrangée         arrang
arrangées        arrang
arrangement        arrang
arrangements         arrang
arrangent        arrangent
arranger         arrang
arrangera        arrang
arrangerait        arrang
arrangés         arrang
arrérages        arrérag
arrestation        arrest
arrestations         arrest
arrêt            arrêt
arrêta           arrêt
arrêtaient         arrêt
arrêtait         arrêt
arrêtant         arrêt
arrête           arrêt
arrêté           arrêt
arrêtée          arrêt
arrêtées         arrêt
arrêtent         arrêtent
arrêter          arrêt
arrêtera         arrêt
arrêterai        arrêt
arrêterait         arrêt
arrêtèrent         arrêt
arrêterons         arrêt
arrêteront         arrêt
arrêtés          arrêt
arrêtez          arrêt
arrêtiez         arrêt
arrêtons         arrêton
arrêts           arrêt
arrhes           arrhe
arrien           arrien
arrière          arrier
arriva           arriv
arrivai          arriv
arrivaient         arriv
arrivais         arriv
arrivait         arriv
arrivant         arriv
arrivants        arriv
arrivât          arriv
arrive           arriv
arrivé           arriv
arrivée          arriv
arrivées         arriv
arrivent         arrivent
arriver          arriv
arrivera         arriv
arriveraient         arriv
arriverais         arriv
arriverait         arriv
arrivèrent         arriv
arriverez        arriv
arriverions        arriv
arriverons         arriv
arriveront         arriv
arrives          arriv
arrivés          arriv
arrivez          arriv
arrivons         arrivon
arrogante        arrog
arrondies        arrond
arrondis         arrond
arrondissait         arrond
arrondissement        arrond
arrondit         arrond
arrosé           arros
arrosées         arros
arsenal          arsenal
arsène           arsen
arsenic          arsenic
art              art
arte             arte
artère           arter
arthémidore        arthémidor
article          articl
articles         articl
articulait         articul
articulant         articul
articulée        articul
articuler        articul
articulés        articul
artifice         artific
artillerie         artiller
artisans         artisan
artiste          artist
artistes         artist
arts             art
as               as
ascagne          ascagn
ascanio          ascanio
ascétique        ascet
asie             asi
asile            asil
aspect           aspect
aspects          aspect
aspérités        asper
asphaltite         asphaltit
asphyxie         asphyx
asphyxié         asphyxi
aspiciam         aspiciam
aspira           aspir
aspirait         aspir
aspirants        aspir
aspirations        aspir
aspire           aspir
aspirer          aspir
aspirez          aspir
assaillaient         assaill
assaillant         assaill
assaillants        assaill
assailli         assaill
assaillie        assaill
assaillis        assaill
assassin         assassin
assassinait        assassin
assassinat         assassinat
assassine        assassin
assassiné        assassin
assassiner         assassin
assassinés         assassin
assassins        assassin
assaut           assaut
assembla         assembl
assemblée        assembl
assembler        assembl
assentiment        assent
asseoir          asseoir
assertions         assert
asseyaient         assei
asseyait         assei
asseyant         assei
asseyez          assei
assez            assez
assidue          assidu
assiduité        assidu
assiduités         assidu
assidûment         assidû
assied           assied
assiégé          assieg
assiégée         assieg
assiéger         assieg
assiégés         assieg
assiette         assiet
assignats        assignat
assigne          assign
assigné          assign
assigner         assign
assirent         assirent
assis            assis
assise           assis
assises          assis
assista          assist
assistaient        assist
assistait        assist
assistance         assist
assistant        assist
assistants         assist
assiste          assist
assisté          assist
assister         assist
assistera        assist
assit            assit
associaient        associ
association        associ
associations         associ
associe          assoc
associé          associ
assoient         assoient
assombri         assombr
assombrit        assombr
assommant        assomm
assommé          assomm
assommer         assomm
assommés         assomm
assommoir        assommoir
assoupie         assoup
assoupissantes        assoup
assoupissement        assoup
assoupit         assoup
assourdissant        assourd
assourdit        assourd
assura           assur
assuraient         assur
assurait         assur
assurance        assur
assurances         assur
assure           assur
assuré           assur
assurée          assur
assurées         assur
assurément         assur
assurer          assur
assurerait         assur
assurerez        assur
assureront         assur
assurghur        assurghur
astéroïdes         astéroïd
asthme           asthme
asti             asti
astre            astre
astreindre         astreindr
astreins         astrein
astres           astre
astrologie         astrolog
astrologique         astrolog
astrologiques        astrolog
astrologues        astrologu
astronomes         astronom
astronomie         astronom
astronomique         astronom
astuce           astuc
at               at
atelier          ateli
athènes          athen
atlantique         atlant
atmosphère         atmospher
atome            atom
atours           atour
atouts           atout
atroce           atroc
atrocement         atroc
atroces          atroc
atrocité         atroc
attacha          attach
attachaient        attach
attachait        attach
attachant        attach
attache          attach
attaché          attach
attachée         attach
attachées        attach
attachement        attach
attachent        attachent
attacher         attach
attachera        attach
attacherai         attach
attacherait        attach
attachèrent        attach
attachés         attach
attaqua          attaqu
attaquaient        attaqu
attaquait        attaqu
attaque          attaqu
attaqué          attaqu
attaquée         attaqu
attaquer         attaqu
attaques         attaqu
attaqués         attaqu
attardé          attard
atteignaient         atteign
atteignait         atteign
atteignirent         atteign
atteignit        atteign
atteindrait        atteindr
atteindre        atteindr
atteint          atteint
atteintes        atteint
atteints         atteint
attelage         attelag
attelages        attelag
attelait         attel
attelé           attel
attelée          attel
attelés          attel
attelle          attel
attenait         atten
attenant         atten
attenante        atten
attend           attend
attendaient        attend
attendais        attend
attendait        attend
attendant        attend
attendent        attendent
attendez         attend
attendirent        attend
attendit         attend
attendons        attendon
attendra         attendr
attendrai        attendr
attendrait         attendr
attendre         attendr
attendri         attendr
attendrie        attendr
attendrir        attendr
attendriraient        attendr
attendris        attendr
attendrissant        attendr
attendrissement               attendr
attendrit        attendr
attends          attend
attendu          attendu
attendue         attendu
attendus         attendus
attente          attent
attenté          attent
attenter         attent
attentif         attent
attentifs        attent
attention        attent
attentions         attent
attentive        attent
attentivement        attent
atterra          atterr
atterrages         atterrag
atterré          atterr
atterrée         atterr
attestaient        attest
attiédi          attied
attira           attir
attiraient         attir
attirait         attir
attire           attir
attiré           attir
attirent         attirent
attirer          attir
attirerait         attir
attirèrent         attir
attirés          attir
attitude         attitud
attraction         attract
attrait          attrait
attrapé          attrap
attrapera        attrap
attrayant        attrai
attrayantes        attrai
attribuaient         attribu
attribuait         attribu
attribué         attribu
attribuée        attribu
attribuer        attribu
attribuera         attribu
attributions         attribu
attristait         attrist
attristé         attrist
attristée        attrist
attrister        attrist
